Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD21012500002904,West Valley,1034,01/25/2021 12:00:00 AM,17:03:01,620D,DOM VIOL
PD21051100005407,Mission,1907,05/11/2021 12:00:00 AM,23:34:13,242PD,POSS DOM VIOL
PD21032900002379,Newton,1383,03/29/2021 12:00:00 AM,13:14:58,620D,DOM VIOL
PD21051900005176,Topanga,2106,05/19/2021 12:00:00 AM,22:06:17,620DR,DOM VIOL R/O
PD21050100000314,Devonshire,1777,05/01/2021 12:00:00 AM,01:22:08,242D,DOM VIOL
PD21030500001164,Hollywood,0668,03/05/2021 12:00:00 AM,08:38:40,620D,DOM VIOL
PD21021500004315,Mission,1944,02/15/2021 12:00:00 AM,21:36:04,242DJ,DOM VIOL J/O
PD21040900004970,Van Nuys,0981,04/09/2021 12:00:00 AM,23:03:28,245DS,DOM VIOL SUSP
PD21022800001976,77th Street,1263,02/28/2021 12:00:00 AM,11:58:47,245DSN,DOM VIOL SUSP NOW
PD21033100002894,Van Nuys,0946,03/31/2021 12:00:00 AM,15:01:53,620D,DOM VIOL
PD21041600001389,Hollywood,0669,04/16/2021 12:00:00 AM,09:54:50,242D,DOM VIOL
PD21030500004755,Southeast,1863,03/05/2021 12:00:00 AM,21:31:48,242D,DOM VIOL
PD21010600002733,Hollenbeck,0468,01/06/2021 12:00:00 AM,15:33:31,620D,DOM VIOL
PD21011500002440,Olympic,2026,01/15/2021 12:00:00 AM,14:53:31,620D,DOM VIOL
PD21021400001427,Southeast,1826,02/14/2021 12:00:00 AM,09:19:13,620D,DOM VIOL
PD21050300002749,Devonshire,1782,05/03/2021 12:00:00 AM,14:40:45,242D,DOM VIOL
PD21030300001136,Central,0111,03/03/2021 12:00:00 AM,09:06:09,242D,DOM VIOL
PD21041400002677,Southwest,0379,04/14/2021 12:00:00 AM,13:55:06,620D,DOM VIOL
PD21021200002845,Foothill,1602,02/12/2021 12:00:00 AM,15:19:23,620DR,DOM VIOL R/O
PD21031000000293,West LA,0834,03/10/2021 12:00:00 AM,01:47:03,242DX,BATTERY DOMESTIC VIO
PD21021900001831,Van Nuys,0901,02/19/2021 12:00:00 AM,11:30:05,242AD,AMB DOM VIOL
PD21053000003352,Hollywood,0648,05/30/2021 12:00:00 AM,17:12:19,242DS,DOM VIOL SUSP
PD21020600002098,Northeast,1152,02/06/2021 12:00:00 AM,13:35:50,242DJ,DOM VIOL J/O
PD21021000005446,Foothill,1663,02/10/2021 12:00:00 AM,22:53:54,620DR,DOM VIOL R/O
PD21031600000547,Harbor,0563,03/16/2021 12:00:00 AM,04:16:03,620D,DOM VIOL
PD21032900002584,Harbor,0581,03/29/2021 12:00:00 AM,13:51:13,242DX,BATTERY DOMESTIC VIO
PD21042700005045,Hollenbeck,0406,04/27/2021 12:00:00 AM,22:23:59,620D,DOM VIOL
PD21052900004151,Southeast,1827,05/29/2021 12:00:00 AM,20:22:44,245DSN,DOM VIOL SUSP NOW
PD21021100005488,Wilshire,0745,02/11/2021 12:00:00 AM,22:58:06,242PD,POSS DOM VIOL
PD21051200003638,Southwest,0362,05/12/2021 12:00:00 AM,17:04:16,242D,DOM VIOL
PD21041500004883,77th Street,1283,04/15/2021 12:00:00 AM,21:59:46,620D,DOM VIOL
PD21041500003435,Southeast,1851,04/15/2021 12:00:00 AM,17:14:33,245D,DOM VIOL
PD21051100003502,Southwest,0395,05/11/2021 12:00:00 AM,16:51:48,620DR,DOM VIOL R/O
PD21052200001736,Central,0151,05/22/2021 12:00:00 AM,10:50:40,242DS,DOM VIOL SUSP
PD21012700004641,N Hollywood,1549,01/27/2021 12:00:00 AM,21:12:51,242D,DOM VIOL
PD21012300002318,Topanga,2149,01/23/2021 12:00:00 AM,15:19:47,620D,DOM VIOL
PD21021200000479,Central,0164,02/12/2021 12:00:00 AM,03:20:33,242D,DOM VIOL
PD21011800002704,Foothill,1659,01/18/2021 12:00:00 AM,15:24:56,620DR,DOM VIOL R/O
PD21022300002944,Wilshire,0758,02/23/2021 12:00:00 AM,14:21:00,620DR,DOM VIOL R/O
PD21052500002117,West Valley,1044,05/25/2021 12:00:00 AM,12:37:00,620D,DOM VIOL
PD21040500000100,Rampart,0291,04/05/2021 12:00:00 AM,00:36:04,242D,DOM VIOL
PD21021600003422,Southwest,0341,02/16/2021 12:00:00 AM,16:28:25,620D,DOM VIOL
PD21020900004806,Rampart,0246,02/09/2021 12:00:00 AM,22:08:25,242PD,POSS DOM VIOL
PD21031800003225,Rampart,0245,03/18/2021 12:00:00 AM,15:30:04,242DX,BATTERY DOMESTIC VIO
PD21010600000233,Hollenbeck,0429,01/06/2021 12:00:00 AM,01:47:51,242D,DOM VIOL
PD21012300003423,Rampart,0248,01/23/2021 12:00:00 AM,19:41:53,620DR,DOM VIOL R/O
PD21042200001590,Olympic,2049,04/22/2021 12:00:00 AM,10:40:18,620DR,DOM VIOL R/O
PD21020300004370,West LA,0859,02/03/2021 12:00:00 AM,18:42:49,620DR,DOM VIOL R/O
PD21010700000498,Hollywood,0615,01/07/2021 12:00:00 AM,05:04:07,620D,DOM VIOL
PD21031700002886,Southeast,1861,03/17/2021 12:00:00 AM,14:17:05,242D,DOM VIOL
PD21021100003847,Southeast,1881,02/11/2021 12:00:00 AM,18:05:03,242D,DOM VIOL
PD21011100002095,Hollywood,0663,01/11/2021 12:00:00 AM,12:53:05,245DSN,DOM VIOL SUSP NOW
PD21030200000709,Devonshire,1756,03/02/2021 12:00:00 AM,07:09:10,620D,DOM VIOL
PD21032100000848,Southeast,1822,03/21/2021 12:00:00 AM,04:49:13,620D,DOM VIOL
PD21011400000102,Mission,1984,01/14/2021 12:00:00 AM,00:54:27,242D,DOM VIOL
PD21032600002893,Hollenbeck,0443,03/26/2021 12:00:00 AM,17:46:03,620DR,DOM VIOL R/O
PD21041600003615,Harbor,0523,04/16/2021 12:00:00 AM,18:20:18,620DR,DOM VIOL R/O
PD21013100003748,Mission,1959,01/31/2021 12:00:00 AM,19:52:14,242D,DOM VIOL
PD21032000004738,Van Nuys,0909,03/20/2021 12:00:00 AM,22:12:24,242DS,DOM VIOL SUSP
PD21010400001671,Harbor,0587,01/04/2021 12:00:00 AM,11:01:22,620D,DOM VIOL
PD21021500002586,West LA,0849,02/15/2021 12:00:00 AM,14:40:42,242D,DOM VIOL
PD21021300001067,Devonshire,1787,02/13/2021 12:00:00 AM,08:04:35,620D,DOM VIOL
PD21042500004302,Mission,1981,04/25/2021 12:00:00 AM,23:15:05,242D,DOM VIOL
PD21060600003108,Harbor,0567,06/06/2021 12:00:00 AM,16:40:45,245DX,DOM VIOL IN PROGRESS
PD21031800001676,Hollenbeck,0426,03/18/2021 12:00:00 AM,10:31:32,620D,DOM VIOL
PD21053000004794,Central,0141,05/30/2021 12:00:00 AM,21:51:13,242AD,AMB DOM VIOL
PD21021500003486,77th Street,1265,02/15/2021 12:00:00 AM,18:03:11,620DR,DOM VIOL R/O
PD21031600001799,Central,0166,03/16/2021 12:00:00 AM,11:20:51,242D,DOM VIOL
PD21021500004212,Olympic,2093,02/15/2021 12:00:00 AM,20:59:39,620D,DOM VIOL
PD21051800000334,Central,0166,05/18/2021 12:00:00 AM,02:18:12,620D,DOM VIOL
PD21051400000855,77th Street,1239,05/14/2021 12:00:00 AM,06:34:27,245D,DOM VIOL
PD21033100002042,Southeast,1821,03/31/2021 12:00:00 AM,11:54:53,242D,DOM VIOL
PD21021100003092,Newton,1343,02/11/2021 12:00:00 AM,15:38:35,245AD,AMB DOM VIOL
PD21041000002234,Mission,1966,04/10/2021 12:00:00 AM,14:00:58,620D,DOM VIOL
PD21013000003877,Mission,1972,01/30/2021 12:00:00 AM,19:34:32,245D,DOM VIOL
PD21051400003313,Newton,1352,05/14/2021 12:00:00 AM,16:37:14,242DS,DOM VIOL SUSP
PD21040600003306,Newton,1363,04/06/2021 12:00:00 AM,16:21:05,242D,DOM VIOL
PD21050500004538,Southwest,0362,05/05/2021 12:00:00 AM,19:46:20,242D,DOM VIOL
PD21042300002945,77th Street,1205,04/23/2021 12:00:00 AM,16:21:04,620D,DOM VIOL
PD21021300002584,Newton,1385,02/13/2021 12:00:00 AM,15:18:07,242PD,POSS DOM VIOL
PD21060700001670,West LA,0842,06/07/2021 12:00:00 AM,10:19:44,620D,DOM VIOL
PD21042000001690,Olympic,2064,04/20/2021 12:00:00 AM,11:12:01,242D,DOM VIOL
PD21051100003198,Hollywood,0666,05/11/2021 12:00:00 AM,15:46:03,245D,DOM VIOL
PD21031700000887,77th Street,1239,03/17/2021 12:00:00 AM,07:37:31,620D,DOM VIOL
PD21020100001598,Southeast,1801,02/01/2021 12:00:00 AM,10:25:20,245PD,ADW POSS DOM VIOL
PD21041800004928,77th Street,1268,04/18/2021 12:00:00 AM,23:39:28,620D,DOM VIOL
PD21060700000555,Wilshire,0706,06/07/2021 12:00:00 AM,03:22:45,242D,DOM VIOL
PD21021900002598,Southeast,1863,02/19/2021 12:00:00 AM,14:18:35,245D,DOM VIOL
PD21032900003754,Olympic,2033,03/29/2021 12:00:00 AM,18:12:37,620D,DOM VIOL
PD21060300002846,Van Nuys,0948,06/03/2021 12:00:00 AM,14:56:43,242DS,DOM VIOL SUSP
PD21050600005277,N Hollywood,1543,05/06/2021 12:00:00 AM,22:54:40,620D,DOM VIOL
PD21042700003681,77th Street,1211,04/27/2021 12:00:00 AM,17:28:24,620D,DOM VIOL
PD21053100003905,Southwest,0315,05/31/2021 12:00:00 AM,19:32:45,620D,DOM VIOL
PD21040100000475,77th Street,1208,04/01/2021 12:00:00 AM,03:28:17,620D,DOM VIOL
PD21011800004516,Southeast,1827,01/18/2021 12:00:00 AM,23:37:27,245DSL,DOM VIOL SUSP J/L
PD21042400003738,Wilshire,0775,04/24/2021 12:00:00 AM,20:07:19,620D,DOM VIOL
PD21050600001174,77th Street,1248,05/06/2021 12:00:00 AM,07:54:29,620D,DOM VIOL
PD21050800003194,Mission,1915,05/08/2021 12:00:00 AM,17:38:25,620D,DOM VIOL
PD21060300004455,Hollenbeck,0461,06/03/2021 12:00:00 AM,21:13:18,242D,DOM VIOL
PD21042900001053,Newton,1391,04/29/2021 12:00:00 AM,08:10:31,245DSN,DOM VIOL SUSP NOW
PD21060300001371,Devonshire,1729,06/03/2021 12:00:00 AM,09:01:03,620DR,DOM VIOL R/O
PD21032700003699,Mission,1955,03/27/2021 12:00:00 AM,20:21:30,620D,DOM VIOL
PD21021600004190,Hollywood,0645,02/16/2021 12:00:00 AM,18:49:27,242D,DOM VIOL
PD21050700005307,Harbor,0515,05/07/2021 12:00:00 AM,23:29:07,620D,DOM VIOL
PD21021000000391,Devonshire,1757,02/10/2021 12:00:00 AM,02:48:49,620D,DOM VIOL
PD21040700000384,Rampart,0269,04/07/2021 12:00:00 AM,03:05:46,242D,DOM VIOL
PD21060300000283,N Hollywood,1585,06/03/2021 12:00:00 AM,01:36:01,242D,DOM VIOL
PD21020700001325,Southeast,1805,02/07/2021 12:00:00 AM,09:10:57,242AD,AMB DOM VIOL
PD21051700002176,Newton,1303,05/17/2021 12:00:00 AM,12:35:05,242D,DOM VIOL
PD21030500000852,Van Nuys,0941,03/05/2021 12:00:00 AM,07:29:36,620D,DOM VIOL
PD21051900005522,Southeast,1862,05/19/2021 12:00:00 AM,23:18:12,620D,DOM VIOL
PD21021400002506,Rampart,0248,02/14/2021 12:00:00 AM,14:34:55,620D,DOM VIOL
PD21011800003365,Newton,1371,01/18/2021 12:00:00 AM,18:22:53,620DR,DOM VIOL R/O
PD21012000000681,Harbor,0529,01/20/2021 12:00:00 AM,05:39:33,242DS,DOM VIOL SUSP
PD21041200000443,Mission,1977,04/12/2021 12:00:00 AM,02:24:04,242DX,BATTERY DOMESTIC VIO
PD21042000002246,77th Street,1235,04/20/2021 12:00:00 AM,14:25:15,242AD,AMB DOM VIOL
PD21052900001640,Newton,1395,05/29/2021 12:00:00 AM,10:35:31,242DJ,DOM VIOL J/O
PD21052800001769,Hollenbeck,0448,05/28/2021 12:00:00 AM,11:03:03,620D,DOM VIOL
PD21021100002107,N Hollywood,1555,02/11/2021 12:00:00 AM,11:59:47,242D,DOM VIOL
PD21030800003679,Southwest,0392,03/08/2021 12:00:00 AM,18:48:43,242AD,AMB DOM VIOL
PD21052000004162,Newton,1367,05/20/2021 12:00:00 AM,19:40:16,242D,DOM VIOL
PD21040200000178,Pacific,1496,04/02/2021 12:00:00 AM,00:57:10,620D,DOM VIOL
PD21022500005499,Mission,1974,02/25/2021 12:00:00 AM,22:48:33,242D,DOM VIOL
PD21052500001417,Hollenbeck,0407,05/25/2021 12:00:00 AM,09:48:55,620DR,DOM VIOL R/O
PD21042600000881,Devonshire,1752,04/26/2021 12:00:00 AM,07:29:15,620D,DOM VIOL
PD21012400000413,Devonshire,1782,01/24/2021 12:00:00 AM,01:56:51,245D,DOM VIOL
PD21052800005232,77th Street,1251,05/28/2021 12:00:00 AM,23:14:11,242D,DOM VIOL
PD21011400003326,Topanga,2177,01/14/2021 12:00:00 AM,18:11:49,242D,DOM VIOL
PD21022600001903,West LA,0889,02/26/2021 12:00:00 AM,11:27:43,242DI,DOM VIOL INVESTIGATI
PD21052100001775,Southeast,1832,05/21/2021 12:00:00 AM,11:11:54,620D,DOM VIOL
PD21012400002243,Newton,1385,01/24/2021 12:00:00 AM,13:39:47,242DI,DOM VIOL INVESTIGATI
PD21042600004199,77th Street,1255,04/26/2021 12:00:00 AM,20:18:54,620D,DOM VIOL
PD21050900003274,Northeast,1101,05/09/2021 12:00:00 AM,17:52:32,620D,DOM VIOL
PD21060600004416,Hollywood,0678,06/06/2021 12:00:00 AM,21:33:29,242D,DOM VIOL
PD21020900000878,Topanga,2158,02/09/2021 12:00:00 AM,07:52:54,620D,DOM VIOL
PD21012100003794,Rampart,0231,01/21/2021 12:00:00 AM,17:10:16,620D,DOM VIOL
PD21042400002713,Northeast,1137,04/24/2021 12:00:00 AM,16:00:47,620DR,DOM VIOL R/O
PD21051900000413,Rampart,0216,05/19/2021 12:00:00 AM,02:31:40,242DS,DOM VIOL SUSP
PD21021800002159,Pacific,1464,02/18/2021 12:00:00 AM,11:39:28,242D,DOM VIOL
PD21031200004819,Mission,1943,03/12/2021 12:00:00 AM,22:47:43,620D,DOM VIOL
PD21021500001560,Van Nuys,0941,02/15/2021 12:00:00 AM,10:45:44,242DJ,DOM VIOL J/O
PD21033000000690,Mission,1964,03/30/2021 12:00:00 AM,06:56:07,620D,DOM VIOL
PD21022600004911,Newton,1367,02/26/2021 12:00:00 AM,22:35:57,620D,DOM VIOL
PD21060600001432,West Valley,1063,06/06/2021 12:00:00 AM,09:04:56,620DR,DOM VIOL R/O
PD21012700000709,Central,0146,01/27/2021 12:00:00 AM,07:03:12,242D,DOM VIOL
PD21033000002443,77th Street,1248,03/30/2021 12:00:00 AM,13:19:08,620DR,DOM VIOL R/O
PD21050100001706,Olympic,2081,05/01/2021 12:00:00 AM,11:06:35,242D,DOM VIOL
PD21050300003880,Northeast,1176,05/03/2021 12:00:00 AM,19:12:12,245AD,AMB DOM VIOL
PD21021700005543,Pacific,1431,02/17/2021 12:00:00 AM,22:46:04,245D,DOM VIOL
PD21032800000049,Harbor,0517,03/28/2021 12:00:00 AM,00:12:32,620D,DOM VIOL
PD21052400001844,Hollenbeck,0453,05/24/2021 12:00:00 AM,11:33:02,620D,DOM VIOL
PD21052700000495,Devonshire,1798,05/27/2021 12:00:00 AM,03:17:52,242D,DOM VIOL
PD21060300001729,Harbor,0587,06/03/2021 12:00:00 AM,10:33:43,620D,DOM VIOL
PD21010500002093,Wilshire,0732,01/05/2021 12:00:00 AM,12:38:12,245DS,DOM VIOL SUSP
PD21021000003123,77th Street,1267,02/10/2021 12:00:00 AM,15:12:27,242D,DOM VIOL
PD21041500002872,Outside,,04/15/2021 12:00:00 AM,16:49:20,245DI,DOM VIOL INVEST
PD21011200001282,Van Nuys,0933,01/12/2021 12:00:00 AM,09:58:12,620D,DOM VIOL
PD21032000005315,Hollywood,0637,03/21/2021 12:00:00 AM,00:00:01,620DR,DOM VIOL R/O
PD21042800000193,Harbor,0587,04/28/2021 12:00:00 AM,01:06:40,245DS,DOM VIOL SUSP
PD21060100000550,Wilshire,0762,06/01/2021 12:00:00 AM,03:33:50,242D,DOM VIOL
PD21043000004497,Pacific,1483,04/30/2021 12:00:00 AM,21:39:00,620DR,DOM VIOL R/O
PD21030500000745,Hollenbeck,0427,03/05/2021 12:00:00 AM,06:27:26,242DX,BATTERY DOMESTIC VIO
PD21060200004648,Southeast,1837,06/02/2021 12:00:00 AM,21:43:59,242AD,AMB DOM VIOL
PD21042100003014,Devonshire,1751,04/21/2021 12:00:00 AM,17:19:49,242D,DOM VIOL
PD21012400003516,Southwest,0374,01/24/2021 12:00:00 AM,19:17:32,620D,DOM VIOL
PD21022700002444,Olympic,2024,02/27/2021 12:00:00 AM,13:42:35,620D,DOM VIOL
PD21060600003341,Hollenbeck,0466,06/06/2021 12:00:00 AM,17:48:22,242DX,BATTERY DOMESTIC VIO
PD21053100002725,West LA,0897,05/31/2021 12:00:00 AM,14:47:42,620DR,DOM VIOL R/O
PD21041400002953,Topanga,2129,04/14/2021 12:00:00 AM,14:35:16,242D,DOM VIOL
PD21031200002817,Wilshire,0765,03/12/2021 12:00:00 AM,16:03:40,620D,DOM VIOL
PD21032100000757,Hollenbeck,0422,03/21/2021 12:00:00 AM,03:44:39,242D,DOM VIOL
PD21030100001531,Southwest,0357,03/01/2021 12:00:00 AM,10:31:12,620DR,DOM VIOL R/O
PD21030200000008,Central,0185,03/02/2021 12:00:00 AM,00:03:56,242DS,DOM VIOL SUSP
PD21012500001061,N Hollywood,1522,01/25/2021 12:00:00 AM,08:37:41,242D,DOM VIOL
PD21051300003089,West LA,0801,05/13/2021 12:00:00 AM,15:14:50,245D,DOM VIOL
PD21022800004520,N Hollywood,1504,02/28/2021 12:00:00 AM,21:11:00,620D,DOM VIOL
PD21022000002179,N Hollywood,1538,02/20/2021 12:00:00 AM,12:41:52,242DS,DOM VIOL SUSP
PD21051000002189,Rampart,0261,05/10/2021 12:00:00 AM,12:24:45,242D,DOM VIOL
PD21032800002952,Rampart,0271,03/28/2021 12:00:00 AM,17:07:15,242DX,BATTERY DOMESTIC VIO
PD21060400001121,Mission,1985,06/04/2021 12:00:00 AM,08:19:32,620DR,DOM VIOL R/O
PD21042800001523,Mission,1934,04/28/2021 12:00:00 AM,10:07:32,620D,DOM VIOL
PD21012200000049,Central,0152,01/22/2021 12:00:00 AM,00:15:32,242D,DOM VIOL
PD21041100002301,Southwest,0396,04/11/2021 12:00:00 AM,13:44:57,242D,DOM VIOL
PD21021700000291,Central,0174,02/17/2021 12:00:00 AM,01:58:13,245D,DOM VIOL
PD21012700000311,77th Street,1256,01/27/2021 12:00:00 AM,02:26:51,620D,DOM VIOL
PD21041700002176,Southeast,1827,04/17/2021 12:00:00 AM,13:54:34,245D,DOM VIOL
PD21042200004893,Mission,1971,04/22/2021 12:00:00 AM,23:14:09,242D,DOM VIOL
PD21011700001628,Van Nuys,0926,01/17/2021 12:00:00 AM,11:00:36,242D,DOM VIOL
PD21022300004950,Harbor,0524,02/23/2021 12:00:00 AM,21:05:46,242D,DOM VIOL
PD21040700000394,Southeast,1844,04/07/2021 12:00:00 AM,03:21:46,620D,DOM VIOL
PD21031600005280,Northeast,1142,03/16/2021 12:00:00 AM,23:02:19,242AD,AMB DOM VIOL
PD21012900002369,77th Street,1283,01/29/2021 12:00:00 AM,15:39:30,620D,DOM VIOL
PD21010900002444,Harbor,0503,01/09/2021 12:00:00 AM,15:05:44,620DR,DOM VIOL R/O
PD21013000002720,77th Street,1265,01/30/2021 12:00:00 AM,15:41:41,242D,DOM VIOL
PD21020900004981,Northeast,1177,02/09/2021 12:00:00 AM,22:53:10,620DR,DOM VIOL R/O
PD21040900003393,Harbor,0523,04/09/2021 12:00:00 AM,17:31:30,620D,DOM VIOL
PD21051100002574,Van Nuys,0911,05/11/2021 12:00:00 AM,13:38:55,620DR,DOM VIOL R/O
PD21051600002695,Southeast,1801,05/16/2021 12:00:00 AM,14:58:53,242D,DOM VIOL
PD21041000004281,Rampart,0269,04/10/2021 12:00:00 AM,22:19:52,242D,DOM VIOL
PD21030700002842,Central,0192,03/07/2021 12:00:00 AM,15:44:49,620D,DOM VIOL
PD21032900005233,Topanga,2138,03/29/2021 12:00:00 AM,23:46:14,242D,DOM VIOL
PD21032000000665,Harbor,0519,03/20/2021 12:00:00 AM,04:08:35,620D,DOM VIOL
PD21041900003288,Topanga,2155,04/19/2021 12:00:00 AM,17:34:46,620D,DOM VIOL
PD21032000000709,Pacific,1468,03/20/2021 12:00:00 AM,04:17:01,242D,DOM VIOL
PD21060300002128,Olympic,2071,06/03/2021 12:00:00 AM,12:06:11,620D,DOM VIOL
PD21031300003604,Pacific,1449,03/13/2021 12:00:00 AM,19:45:27,242D,DOM VIOL
PD21031000001968,Hollywood,0645,03/10/2021 12:00:00 AM,11:27:08,242DX,BATTERY DOMESTIC VIO
PD21032700001919,Van Nuys,0929,03/27/2021 12:00:00 AM,13:17:27,620D,DOM VIOL
PD21052400004753,Rampart,0256,05/24/2021 12:00:00 AM,21:48:22,620D,DOM VIOL
PD21030800004680,Rampart,0257,03/08/2021 12:00:00 AM,22:20:58,620D,DOM VIOL
PD21013100000754,Rampart,0233,01/31/2021 12:00:00 AM,04:36:32,620D,DOM VIOL
PD21012000000166,Mission,1991,01/20/2021 12:00:00 AM,00:51:16,242D,DOM VIOL
PD21050100002110,Harbor,0563,05/01/2021 12:00:00 AM,12:55:25,620D,DOM VIOL
PD21022500005324,77th Street,1266,02/25/2021 12:00:00 AM,22:33:25,242D,DOM VIOL
PD21050400001522,77th Street,1267,05/04/2021 12:00:00 AM,10:08:27,620D,DOM VIOL
PD21041900004367,Wilshire,0758,04/19/2021 12:00:00 AM,22:07:14,620DR,DOM VIOL R/O
PD21012800004805,Harbor,0585,01/28/2021 12:00:00 AM,23:20:30,620DR,DOM VIOL R/O
PD21011100000349,Northeast,1129,01/11/2021 12:00:00 AM,02:20:00,620D,DOM VIOL
PD21012600005096,West Valley,1043,01/26/2021 12:00:00 AM,23:48:24,242D,DOM VIOL
PD21050600002442,West LA,0893,05/06/2021 12:00:00 AM,12:21:01,620D,DOM VIOL
PD21011000003947,Northeast,1184,01/10/2021 12:00:00 AM,20:42:11,620D,DOM VIOL
PD21021400002431,Hollenbeck,0442,02/14/2021 12:00:00 AM,14:27:35,620D,DOM VIOL
PD21031500003993,Southeast,1802,03/15/2021 12:00:00 AM,20:14:43,242D,DOM VIOL
PD21022700005275,Foothill,1653,02/27/2021 12:00:00 AM,23:37:51,242D,DOM VIOL
PD21012300002796,Newton,1307,01/23/2021 12:00:00 AM,16:57:40,620D,DOM VIOL
PD21011700002646,Mission,1961,01/17/2021 12:00:00 AM,15:53:51,242D,DOM VIOL
PD21052100003916,Southwest,0362,05/21/2021 12:00:00 AM,19:40:21,242DS,DOM VIOL SUSP
PD21031200000381,77th Street,1252,03/12/2021 12:00:00 AM,02:28:00,245D,DOM VIOL
PD21032800003476,Pacific,1496,03/28/2021 12:00:00 AM,19:09:33,245DI,DOM VIOL INVEST
PD21010200001260,Van Nuys,0911,01/02/2021 12:00:00 AM,10:22:57,620DR,DOM VIOL R/O
PD21030700004721,Rampart,0211,03/07/2021 12:00:00 AM,22:11:32,242D,DOM VIOL
PD21010800000679,Newton,1331,01/08/2021 12:00:00 AM,07:22:43,242D,DOM VIOL
PD21011500004531,Olympic,2017,01/15/2021 12:00:00 AM,23:00:25,620D,DOM VIOL
PD21032900001774,Hollenbeck,0437,03/29/2021 12:00:00 AM,11:27:09,242DS,DOM VIOL SUSP
PD21060100000279,Newton,1303,06/01/2021 12:00:00 AM,01:27:11,242D,DOM VIOL
PD21040800004344,Southeast,1891,04/08/2021 12:00:00 AM,20:36:52,620DR,DOM VIOL R/O
PD21032300002989,Devonshire,1764,03/23/2021 12:00:00 AM,14:48:19,242D,DOM VIOL
PD21042000002687,77th Street,1205,04/20/2021 12:00:00 AM,15:54:50,242D,DOM VIOL
PD21051400000110,Pacific,1433,05/14/2021 12:00:00 AM,00:38:03,620D,DOM VIOL
PD21011400001091,Pacific,1412,01/14/2021 12:00:00 AM,08:57:57,245DI,DOM VIOL INVEST
PD21050200003451,Northeast,1112,05/02/2021 12:00:00 AM,18:05:58,620D,DOM VIOL
PD21021300003922,Pacific,1435,02/13/2021 12:00:00 AM,20:05:48,245D,DOM VIOL
PD21030500002480,77th Street,1213,03/05/2021 12:00:00 AM,13:38:13,620D,DOM VIOL
PD21051000003855,Van Nuys,0909,05/10/2021 12:00:00 AM,18:54:13,242D,DOM VIOL
PD21050800004146,Mission,1925,05/08/2021 12:00:00 AM,21:21:15,242DS,DOM VIOL SUSP
PD21051200001704,Wilshire,0721,05/12/2021 12:00:00 AM,10:15:07,242PD,POSS DOM VIOL
PD21011100004379,Olympic,2014,01/11/2021 12:00:00 AM,23:20:10,620D,DOM VIOL
PD21033000003016,Newton,1331,03/30/2021 12:00:00 AM,15:51:42,242DS,DOM VIOL SUSP
PD21022600005266,West Valley,1008,02/26/2021 12:00:00 AM,23:42:56,620D,DOM VIOL
PD21050600003669,Hollenbeck,0464,05/06/2021 12:00:00 AM,16:54:48,242D,DOM VIOL
PD21042600004929,Northeast,1195,04/26/2021 12:00:00 AM,23:09:55,245OD,OFCR HLDG DOM VIOL
PD21020600004988,Mission,1984,02/06/2021 12:00:00 AM,23:26:15,620D,DOM VIOL
PD21042300004554,77th Street,1283,04/23/2021 12:00:00 AM,21:48:26,620D,DOM VIOL
PD21052600003334,Hollenbeck,0463,05/26/2021 12:00:00 AM,16:37:33,620DR,DOM VIOL R/O
PD21010800000473,Harbor,0563,01/08/2021 12:00:00 AM,04:37:00,242D,DOM VIOL
PD21022600004826,77th Street,1269,02/26/2021 12:00:00 AM,22:11:14,245D,DOM VIOL
PD21052900004102,Topanga,2189,05/29/2021 12:00:00 AM,20:15:13,620DR,DOM VIOL R/O
PD21060700003844,Topanga,2115,06/07/2021 12:00:00 AM,18:43:28,620DR,DOM VIOL R/O
PD21051300003772,Southwest,0361,05/13/2021 12:00:00 AM,17:53:32,620D,DOM VIOL
PD21042800000645,77th Street,1265,04/28/2021 12:00:00 AM,06:03:25,242D,DOM VIOL
PD21042300002917,Devonshire,1735,04/23/2021 12:00:00 AM,15:59:26,620D,DOM VIOL
PD21022500005574,Northeast,1151,02/25/2021 12:00:00 AM,23:07:02,620D,DOM VIOL
PD21021600001854,Harbor,0518,02/16/2021 12:00:00 AM,11:05:52,620DR,DOM VIOL R/O
PD21060600002673,West LA,0832,06/06/2021 12:00:00 AM,14:51:10,620D,DOM VIOL
PD21033100003671,Newton,1372,03/31/2021 12:00:00 AM,17:51:20,620D,DOM VIOL
PD21042100000985,Mission,1955,04/21/2021 12:00:00 AM,08:07:59,242D,DOM VIOL
PD21040100005193,77th Street,1235,04/01/2021 12:00:00 AM,23:05:31,620D,DOM VIOL
PD21053000005204,Rampart,0238,05/30/2021 12:00:00 AM,23:17:07,620D,DOM VIOL
PD21052400001255,Newton,1354,05/24/2021 12:00:00 AM,09:01:41,242DJ,DOM VIOL J/O
PD21052600000110,West LA,0898,05/26/2021 12:00:00 AM,00:43:36,242PD,POSS DOM VIOL
PD21041000000940,Olympic,2013,04/10/2021 12:00:00 AM,07:39:41,620D,DOM VIOL
PD21022400004571,Hollenbeck,0426,02/24/2021 12:00:00 AM,19:21:58,242DS,DOM VIOL SUSP
PD21041700003636,Southeast,1802,04/17/2021 12:00:00 AM,18:58:28,620DR,DOM VIOL R/O
